S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
3316,PRATAPGARH,"SHANKAR VIDYALAY INTER COLLEGE, KATAIYA, PRATAPGARH",Basic Education,Village Gabi Mahuaban Chemrariya
3317,PRATAPGARH,"MAHATMA GANDHI INTER COLLEGE, BAHUGARA, PRATAPGARH",Basic Education,Village Kharagpur Multanipur
3318,PRATAPGARH,"BHADESHVAR INTER COLLEGE, SERAVA PRATAPGARH",secondary education,shekhupur pratapgarh
3319,PRATAPGARH,"CHATRADHARI INTER COLLEGE, LAKHPEDAKOTA, BHAWANIGANJ, PRATAPGARH",secondary education,shuklpur pratapgarh
3320,PRATAPGARH,"INTER COLLEGE, SANGRAMGARH, PRATAPGARH",secondary education,Deori Hardopati
3321,PRATAPGARH,"T P INTER COLLEGE , KUNDA, PRATAPGARH",secondary education,Madhupur
3322,PRATAPGARH,"INTER COLLEGE MANIKAPUR, PRATAPGARH",secondary education,iron patti
3323,PRATAPGARH,"PRATHAMIK VIDYALAY RAJGARH, SADAR",secondary education,Rasulpur
3324,PRATAPGARH,"PRATHAMIK VIDYALAY , SUKHPAL NAGAR",secondary education,Pratapgarh
3325,PRATAPGARH,"PRATHAMIK VIDDYALAY, BUKANAPUR",secondary education,Pratapgarh
3326,PRATAPGARH,"UCHH PRATHAMIK VIDDYALAY, BAJHAN",secondary education,Chilbila Pratapgarh
3327,PRATAPGARH,"UCHH PRATHAMIK VIDDYALAY, MADHUPUR",secondary education,City Pratapgarh
3328,PRATAPGARH,"SANVILIT VIDDYALAY, KANDHARPUR",secondary education,Bhadohi Pratapgarh
3329,PRATAPGARH,"PRATHAMIK VIDDYALAY, SARAIDEV RAI",secondary education,Patti Pratapgarh
3330,PRATAPGARH,"SANVILIT VIDDYALAY, DWIVAINI",secondary education,Garhwara Pratapgarh
3331,PRATAPGARH,"PRATHAMIK VIDDYALAY, PAYAGPUR AAURISTA",secondary education,Pratapgarh
3332,PRATAPGARH,"PRATHAMIK VIDDYALAY, SUNDARGANJ",secondary education,Basauli
3333,PRATAPGARH,50,,
3334,PRAYAGRAJ,GOVT INTER COLLEGE PRAYAGRAJ,Basic Education,Kanak Pur Handia Prayagraj 221503
3335,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE PRAYAGRAJ,Basic Education,Pipri Handia Prayagraj 221503
3336,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE SHANKARGAD PRAYAGRAJ,Basic Education,Dandupur Post Nadupur Chaka Prayagraj 211008
3337,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE PHOOLPUR PRAYAGRAJ,Basic Education,Ghoghapur Balapur Chaka Prayagraj 211008
3338,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE MUNGARI KARCHHANA PRAYAGRAJ,Basic Education,UPS Tharwai Soraon 211013
3339,PRAYAGRAJ,GOVT INTER COLLEGE SURUVADALAPUR PRAYAGRAJ,Basic Education,Sarai Lal Khatoon alias Shivgarh 212502
3340,PRAYAGRAJ,GOVT INTER COLLEGE BERI PRAYAGRAJ,Basic Education,Rajapur Manda Prayagraj 212104
3341,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE JASRA PRAYAGRAJ,Basic Education,Babhani Hethar Manda Prayagraj 212104
3342,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE HANDIYA PRAYAGRAJ,Basic Education,Karnaipur Bahria Prayagraj 212109
3343,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE SAIDABAD PRAYAGRAJ,Basic Education,Balkaranpur Lahti Kamlanagar Prayagraj 212109
3344,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE DHANUPUR PRAYAGRAJ,Basic Education,Purkhipur Khargapur Soraon Prayagraj 212502
3345,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE FAFAMAU PRAYAGRAJ,Basic Education,Maudostpur Mauaima Soraon Prayagraj 212507
3346,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE KATARA PRAYAGRAJ,Basic Education,Kanehti Phulpur Prayagraj 212402
3347,PRAYAGRAJ,GOVT GIRLS INTER COLLEGE NARI BARI PRAYAGRAJ,Basic Education,Dhokri Phulpur Prayagraj 212402
3348,PRAYAGRAJ,RAJKEEY U M S PARVEJABAD JASRA PRAYAGRAJ,Basic Education,Dewara Karchana Prayagraj 212301
3349,PRAYAGRAJ,RAJKEEY U M S ATRAURA HANDIYA PRAYAGRAJ,Basic Education,Pawar Kondhiara Prayagraj 212107
3350,PRAYAGRAJ,RAJKEEY U M S SONVAI SHANKERGAD PRAYAGRAJ,Basic Education,Kareha Karchana Prayagraj 212301
3351,PRAYAGRAJ,RAJKEEY U M S SANSARPUR KORAV PRAYAGRAJ,Basic Education,Khekasa Dharwara Karchana Prayagraj 212301
3352,PRAYAGRAJ,RAJKEEY U M S DIGHIYA (MANDA) PRAYAGRAJ,Basic Education,Sujauna Jasra Prayagraj 212107
3353,PRAYAGRAJ,RAJKEEY U M S PIPRANV MEJA PRAYAGRAJ,Basic Education,Ghurpur Jasra Prayagraj 212107
3354,PRAYAGRAJ,RAJKEEY U M S NANDAUTA FOOLPUR PRAYAGRAJ,Basic Education,KGBV Shankargarh Near BRC Shankargarh Prayagraj
3355,PRAYAGRAJ,RAJKEEY U M S DANDUPUR CHAKA PRAYAGRAJ,Basic Education,KGBV Dhanupur Village BithauliDhanupurPrayagraj
3356,PRAYAGRAJ,RAJKEEY GIRLS U M S SIRSA PRAYAGRAJ,Basic Education,KGBV Mauaima Village Jamkhuri Mau Aima Prayagraj
3357,PRAYAGRAJ,RAJKEEY U M S GOHARI SORAV PRAYAGRAJ,Basic Education,KGBV Meja Meja Prayagraj
3358,PRAYAGRAJ,RAJKEEY U M S ULDA MANDA PRAYAGRAJ,Basic Education,KGBV Saidabad Village Haripur Saidabad Prayagraj
3359,PRAYAGRAJ,RAJKEEY U M S MOHABBTGANJ CHAKA PRAYAGRAJ,Basic Education,KGBV Handia BRC Handia Prayagraj
3360,PRAYAGRAJ,RAJKEEY U M S KUVARPATTI (JEVNIYA) MEJA PRAYAGRAJ,Basic Education,KGBV Holagarh BRC Holagarh Prayagraj
3361,PRAYAGRAJ,RAJKEEY U M S CHANAITHU PRATAPPUR PRAYAGRAJ,Basic Education,KGBV Jasra Village Ghurpur Jasra Prayagraj
3362,PRAYAGRAJ,RAJKEEY U M S JOGIPUR MAUAYIMA SORAV PRAYAGRAJ,Basic Education,KGBV Kaudihar Village Adampur Nawabganj Kaudihar Prayagraj
3363,PRAYAGRAJ,RAJKEEY U M S KHIRI KORAV PRAYAGRAJ,Basic Education,KGBV Koraon Village Khajuri Koraon Prayagraj
3364,PRAYAGRAJ,RAJKEEY U M S MIRAKPUR BAHRIYA PRAYAGRAJ,Basic Education,KGBV Urwa Village Bari Urwa Prayagraj
3365,PRAYAGRAJ,PT. D D U RAJKEEY MODEL INTER COLLEGE KAMLANAGAR BAHRIYA PRAYAGRAJ,Basic Education,KGBV Karchana Village Mungari Karchana Prayagraj
3366,PRAYAGRAJ,PT. D D U RAJKEEY MODEL INTER COLLEGE SAMHAN URUVA MEJA  PRAYAGRAJ,Basic Education,KGBV Phoolpur Village Haribhanpur Phoolpur Prayagraj
3367,PRAYAGRAJ,ABHINAV VIDYALAY DADUPUR CHAKA PRAYAGRAJ,Basic Education,KGBV Chaka BRC Chaka Chaka Prayagraj
3368,PRAYAGRAJ,KASTHVET GIRLS INTER COLLEGE PRAYAGRAJ,Basic Education,KGBV Soraon Village Gohari Soraon Prayagraj
3369,PRAYAGRAJ,SENT ENTHONI GIRLS INTER COLLEGE PRAYAGRAJ,secondary education,Government Inter College Prayagraj
3370,PRAYAGRAJ,MERI VANA MEKAR GIRLS INTER COLLEGE PRAYAGRAJ,secondary education,Swarooprani Prayagraj
3371,PRAYAGRAJ,DWARIKA PRASAD GIRLS INTER COLLEGE PRAYAGRAJ,secondary education,Prayagraj
3372,PRAYAGRAJ,JAGAT TARAN GIRLS INTER COLLEGE PRAYAGRAJ,secondary education,Prayagraj
3373,PRAYAGRAJ,HINDU MAHILA GIRLS INTER COLLEGE PRAYAGRAJ,secondary education,Prayagraj
3374,PRAYAGRAJ,"COMPOSIT UCHH PRATHAMIK VIDDYALAY, MUNGARI",secondary education,katra prayag
3375,PRAYAGRAJ,"COMPOSIT UCHH PRATHAMIK VIDDYALAY,KAREHA",secondary education,Prayagraj
3376,PRAYAGRAJ,"COMPOSIT UCHH PRATHAMIK VIDDYALAY, ROKADI",secondary education,Prayagraj
3377,PRAYAGRAJ,"COMPOSIT UCHH PRATHAMIK VIDDYALAY, SULAMAI",secondary education,Prayagraj
3378,PRAYAGRAJ,"PRATHAMIK VIDDYALAY, KAKRAM",secondary education,St.Anthony's Girls Inter College Prayagraj
3379,PRAYAGRAJ,"PRATHAMIK VIDDYALAY, DEEHA PRATHAM",secondary education,Prayagraj
3380,PRAYAGRAJ,"PRATHAMIK VIDDYALAY, HARRAI",secondary education,Prayagraj
3381,PRAYAGRAJ,"PRATHAMIK VIDDYALAY, MUNGARI DWITIYA",secondary education,Prayagraj
3382,PRAYAGRAJ,"PRATHAMIK VIDDYALAY, PANASA UPARHAR",secondary education,Prayagraj
3383,PRAYAGRAJ,"PRATHAMIK VIDDYALAY, BHARHA",secondary education,Prayagraj
3384,PRAYAGRAJ,50,,
3385,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, LALGANJ RAIBARELI ",Basic Education,Rupamau
3386,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, BACCHRAO RAIBARELI",Basic Education,Baikhara
3387,RAIBARELI,"RAJKIYA INTER COLLEGE , HALOR, RAIBARELI",Basic Education,Ashrafabad
3388,RAIBARELI,"RAJKIYA INTER COLLEGE, RAIBARELI",Basic Education,sidhauna
3389,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, RAIBARELI",Basic Education,Habtamou
3390,RAIBARELI,"K B SINHA RAJKIYA BALIKA INTER COLLEGE, DEVANANDPUR, RAIBARELI",Basic Education,Bhausi
3391,RAIBARELI,"JWAHAR RAJKIYA INTER COLLEGE, SEMRI RAIBARELI",Basic Education,Chitwania
3392,RAIBARELI,"RAJKIYA INTER COLLEGE, DIHA RAIBARELI",Basic Education,Raipur Nerua
3393,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE,  SALON RAIBARELI",Basic Education,rampur khas
3394,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, GURGUJPUR RAIBARELI",Basic Education,Shivli
3395,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, DIHA RAIBARELI",Basic Education,Lodhwari
3396,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, MAHARAJGANJ RAIBARELI",Basic Education,Rajapur
3397,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, AJITPUR RAIBARELI",Basic Education,Bella Takei
3398,RAIBARELI,"RAJKIYA INTER COLLEGE, TERABAROL, RAIBARELI",Basic Education,Toudhakpur
3399,RAIBARELI,"RAJKIYA INTER COLLEGE, ATORABUJURG, RAIBARELI",Basic Education,sheikhwapur
3400,RAIBARELI,"RAJKIYA INTER COLLEGE, CHATOHA, RAIBARELI",Basic Education,Lalganj
3401,RAIBARELI,"RAJKIYA BALIKA INTER COLLEGE, HARIYAANV RAIBARELI",Basic Education,Mithapur
3402,RAIBARELI,MAHATMA GANDHI INTER COLLEGE RAIBARELI,Basic Education,Santpur
3403,RAIBARELI,VASI NAKVI NATIONAL INTER COLLEGE RAIBARELI,Basic Education,Umramou
3404,RAIBARELI,"CHANDRAPAL INTER COLLEGE SHORA, GANGAGANJ RAIBARELI",Basic Education,Rousey
3405,RAIBARELI,"JANPAD INTER COLLEGE , HARCHANDPUR RAIBARELI",Basic Education,narendrapur
3406,RAIBARELI,"DEDOR INTER COLLEGE, DEDOR, RAIBARELI",Basic Education,Karanpur
3407,RAIBARELI,"S N V P INTER COLLEGE, STAANV, RAIBARELI",Basic Education,Jalalpur
3408,RAIBARELI,"S S P INTER COLLEGE, KONSA, RAIBARELI",Basic Education,Bhairampur
3409,RAIBARELI,"S N INTER COLLEGE, GORA RAIBARELI",Basic Education,Gojhri
3410,RAIBARELI,"JANTA INTER COLLEGE, PUREPANDEY RAIBARELI",Basic Education,Persecution
3411,RAIBARELI,S B INTER COLLEGE MURAMAU RAIBARELI,Basic Education,Malikmau Chabara
3412,RAIBARELI,"BESVARA INTER COLLEGE, LALGANJ RAIBARELI",Basic Education,Kelauli
3413,RAIBARELI,"R B M INTER COLLEGE, SHANKARPUR RAIBARELI",Basic Education,tanda
3414,RAIBARELI,"SHRI GANESH VIDYALAY INTER COLLEGE, EHAR RAIBARELI",Basic Education,paharawan
3415,RAIBARELI,"SHRI NARMDESHWAR INTER COLEGE, RAMBAGH RAIBARELI",Basic Education,Dedaor
3416,RAIBARELI,"KANHA SHIKSHA NIKETAN INTER COLLEGE, KARHIYA BAZAAR RAIBARELI",Basic Education,bishnupur
3417,RAIBARELI,"SARVODYA INTER COLLEGE, SALON RAIBARELI",Basic Education,Sinki Salimpur
3418,RAIBARELI,"HARNARAYAN INTER COLLEGE, UNCHAHAR RAIBARELI",Basic Education,Khurehti
3419,RAIBARELI,"JAWAHAR INTER COLLEGE, ARKHA RAIBARELI",Basic Education,bella gucci
3420,RAIBARELI,"SHRI GANDHI VIDYALAY INTER COLLEGE, BACCHRAO RAIBARELI",secondary education,Sadar
3421,RAIBARELI,S V V INTER COLLEGE SHIVGARH RAIBARELI,secondary education,Semri
3422,RAIBARELI,"R C S S INTER COLLEGE, MAHARAJGANJ RAIBARELI",secondary education,Atoura Elders
3423,RAIBARELI,"S V INTER COLLEGE, ROTAPUR RAIBARELI",secondary education,Deh
3424,RAIBARELI,S L J INTER COLLEGE RAIPUR MAJHIGAON RAIBARELI,secondary education,Halor
3425,RAIBARELI,"PRATHMIK VIDYALAY CHAKAHMADPUR, NAGAR KSHETRA, RAIBARELI",secondary education,Deh
3426,RAIBARELI,PRATHMIK VIDYALAY BALA HARCHANDPUR RAIBARELI,secondary education,Sadar Police Line
3427,RAIBARELI,"PRATHMIK VIDYALAY HARDASPUR, AMAAVA, RAIBARELI",secondary education,Kanpur Road Lalganj
3428,RAIBARELI,"PRATHMIK VIDYALAY MANCHITPUR, AMAAVA RAIBARELI",secondary education,Maharajganj Kotwali Road
3429,RAIBARELI,"PRATHMIK VIDYALAY MELTHUA, DINSHAH GORA, RAIBARELI",secondary education,dewanandpur ratapur
3430,RAIBARELI,"PRATHMIK VIDYALAY SALON, SALON RAIBARELI",secondary education,Ajitpar Kheer
3431,RAIBARELI,"PRATHMIK VIDYALAY BIBPUR, DALMAU, RAIBARELI",secondary education,Salon Sadar
3432,RAIBARELI,"PRATHMIK VIDYALAY RALPUR, SARENI RAIBARELI",secondary education,Haripur Nihstha
3433,RAIBARELI,"PRATHMIK VIDYALAY JHAKRASI, RAHI RAIBARELI",secondary education,Kuwarmau Raebareli
3434,RAIBARELI,"PRATHMIK VIDYALAY SARAI MUBARAK, STAANV, RAIBARELI",secondary education,Bhira Govindpur
3435,RAIBARELI,50,,
3436,RAMPUR,KANYA INTER COLLEGE KHARI KUWAN SADAR RAMPUR,Basic Education,Village Surat Singh Pur
3437,RAMPUR,RESHMA PYARI KANYA INTER COLLEGE MILAK RAMPUR,Basic Education,Village Khoud
3438,RAMPUR,RAJKIYA MURTAJA INTER COLLEGE SADAR RAMPUR,Basic Education,Village Pranpur
3439,RAMPUR,RAJKIYA JHULFIKAR INTER COLLEGE,Basic Education,Village Ahraula
3440,RAMPUR,RAJKIYA BAKAR INTER COLLEGE RAMPUR,Basic Education,Village Lalpur
3441,RAMPUR,RAJKIYA INTER COLLEGE KEMARI,Basic Education,Village Kesarpur Saidnagar
3442,RAMPUR,RAJKIYA INTER COLLEGE SWAR RAMPUR,Basic Education,Ahmed Nagar Village
3443,RAMPUR,RAJKIYA INTER COLLEGE TANDA RAMPUR,Basic Education,Village Barkheda
3444,RAMPUR,NETAJI SU INTER COLLEGE RATONDA MILAK RAMPUR,Basic Education,Village Lashkargaz
3445,RAMPUR,ROSHAN UTTAR MADYAMIK VIDHYALAY BHANWARKA,Basic Education,Village Bheerapur
3446,RAMPUR,SARWAHITKARI INTER COLLEGE MASWASHI SWARA RAMPUR,Basic Education,Village Mahewa
3447,RAMPUR,RAJKIYA KANYA INTER COLLEGE KILA RAMPUR,Basic Education,Village Motipura
3448,RAMPUR,RAJKIYA KHURSHID KANYA INTER COLLEGE,Basic Education,Village Shekhupura
3449,RAMPUR,RAJKIYA HAMID INTER COLLEGE RAMPUR,Basic Education,Village Behta
3450,RAMPUR,RAJKIYA RAZAA INTER COLLEGE RAMPUR,Basic Education,Village Bhaisidi
3451,RAMPUR,SUNDAR LAL INTER COLLEGE RAMPUR,Basic Education,Village Nisthi
3452,RAMPUR,JAIN INTER COLLEGE RAMPUR,Basic Education,Village Rahmatganj
3453,RAMPUR,SANATAN DHARMA INTER COLLEGE RAMPUR,Basic Education,Village Mara Bahadur
3454,RAMPUR,HERA INTER COLLEGE MEHNDIPUR RAMPUR,Basic Education,Village Abbas Nagar
3455,RAMPUR,ARYA VIDHYALAY INTER COLLEGE MILAK RAMPUR,Basic Education,Mehandipur Milk
3456,RAMPUR,RAJKIYA INTER COLLEGE BILASHPUR RAMPUR,Basic Education,Village Hakimganj Saidnagar
3457,RAMPUR,RAJKIYA KANYA INTER COLLEGE SWAR RAMPUR,Basic Education,Village Jagatpur Saidnagar
3458,RAMPUR,RUKMANI KANYA INTER COLLEGE SARAKTHAL TANDA,Basic Education,Village Kesarpur
3459,RAMPUR,GURU AMARDAS SIKSHA NIKETAN KANYA INTER COLLEGE MILAK RAMPUR,Basic Education,Village Anga Saidnagar
3460,RAMPUR,SARASWATI VIDHYA MANDIR INTER COLLEGE MILAK RAMPUR,Basic Education,Village Shahdara Shahabad
3461,RAMPUR,SARASWATI VIDHYA MANDIR UCHH MADHYAMIK TANDABADLI RAMPUR,Basic Education,Village Majhra Ghosipura Shahbad
3462,RAMPUR,JANAKI INTER COLLEGE MILAK RAMPUR,Basic Education,Village Koop Shahbad
3463,RAMPUR,SHRI HARI INTER COLLEGE SADAR RAMPUR,Basic Education,Village Gajraula Bilaspur
3464,RAMPUR,K. INTER COLLEGE KHARDIYA SWAR RAMPUR,Basic Education,Village Pajaba Bilaspur
3465,RAMPUR,SINGH HIGHER SECONDARY SCHOOL LAMBA KHEDA,Basic Education,Village Ashok Nagar Bilaspur
3466,RAMPUR,RAJKIYA JULFIKAR KANYA INTER COLLEGE RAMPUR,Basic Education,Village Ramnagar Bilaspur
3467,RAMPUR,LAL LODHI INTER COLLEGE KHEMPUR RAMPUR,Basic Education,Village Pasiapura Swar
3468,RAMPUR,RAJKIYA UCHH MADYAMIK VIDHYALAY DHANUPURA TANDA RAMPUR,Basic Education,Village Ghosipura Patti Kalan Swar
3469,RAMPUR,MEGHA GYAN UCHH MADHYAMIK VIDHYALAY MANAKPUR BANJARIYA RAMPUR,Basic Education,Village Kethola Swar
3470,RAMPUR,INTER COLLEGE RAAS DHANDHIYA RAMPUR,Basic Education,Village Gangapur Kadim Milk
3471,RAMPUR,VIDHYA INTER COLLEGE SIMRA MOD MILAK RAMPUR,secondary education,Maulana Ali Johar Road Sadar Rampur
3472,RAMPUR,SHYAMA DEVI INTER COLLEGE RAAS DHANDHIYA RAMPUR,secondary education,M. Anguri Bagh Near Police Station Ganj Sadar Rampur
3473,RAMPUR,S. M. UCHH MADHYAMIK VIDHYALAY KHUSHAALPUR TANDA RAMPUR,secondary education,Mau0 Peepaltola Sadar Rampur
3474,RAMPUR,S. P. INTER COLLEGE HARSUNGALA RAMPUR,secondary education,Mau0 Khari Kuan Sadar Rampur
3475,RAMPUR,K. MEMORIAL INTER COLLEGE BAKENIYA BHAT RAMPUR,secondary education,Civil Line Sadar Rampur
3476,RAMPUR,COMPOSITE SCHOOL MOHANPURA SWAR RAMPUR,secondary education,Visharda Nagar Tehsil Bilaspur Rampur
3477,RAMPUR,PRATMIK VIDHYALAY  BANDALI SWAR RAMPUR,secondary education,Tehsil Bilaspur District Rampur
3478,RAMPUR,UCHH PRATMIK SCHOOL KANYA PATHSHALA TANDA RAMPUR,secondary education,Tehsil Swar District Rampur
3479,RAMPUR,UCHH PRATMIK VIDHYALAY DADLI SWAR RAMPUR,secondary education,Area Panchayat Maswasi Tehsil Swar District Rampur
3480,RAMPUR,COMPOSITE SCHOOL MUNDIYA RASOOLPUR SWAR RAMPUR,secondary education,Tehsil Tanda Dist. Rampur
3481,RAMPUR,COMPOSITE SCHOOL KUNDESARA SWAR RAMPUR,secondary education,Village Badli Tehsil Tanda Dist Rampur
3482,RAMPUR,UCHH PRATMIK VIDHYALAY TALAMHAWARA BILASHPUR RAMPUR,secondary education,Village Dhamora Tehsil Milak District Rampur
3483,RAMPUR,UCHH PRATMIK VIDHYALA KOTA JANGHEER COMPOSITE BILASHPUR RAMPUR,secondary education,Tehsil Milk District Rampur
3484,RAMPUR,UCHH PRATMIK VIDHYALAY MUNDHIYA KALA COMPOSITE BILASHPUR RAMPUR,secondary education,Tehsil Shahabad Dist. Rampur
3485,RAMPUR,UCHH PRATMIK VIDHYALAY MANGAAPUR KALA COMPOSITE BILASHUR RAMPUR,secondary education,Tehsil Shahabad Dist. Rampur
3486,RAMPUR,50,,
3487,SAHARANPUR,"RAJKIYA INTER COLLEGE, SAHARANPUR",Basic Education,primary school meerapur
3488,SAHARANPUR,RAJKIYA INTER COLLEGE PANCHKUWA SAHARANPUR,Basic Education,Primary School Feru Majra
3489,SAHARANPUR,RAJKIYA INTER COLLEGE GUMTI SAHARANPUR,Basic Education,Narayanpur Primary School
3490,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE SAHARANPUR ,Basic Education,Primary School Samsapur
3491,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE KOTA SAHARANPUR,Basic Education,primary school sultanpur
3492,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE DEVBAND SAHARANPUR,Basic Education,primary school nathodi
3493,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE TIKROL SAHARANPUR,Basic Education,Primary School Todarpur Bhukhari
3494,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE AMBEHTAPEER SAHARANPUR,Basic Education,primary school gajdinpur
3495,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE GAGALHEDI SAHARANPUR,Basic Education,Primary School Shahpur Daud
3496,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE DEVLA SAHARANPUR,Basic Education,PS Mukarampur alias Lalwala
3497,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE NAKKUD SAHARANPUR,Basic Education,Primary School Narayanpur Gujjar
3498,SAHARANPUR,RAJKIYA KANYA INTER COLLEGE NEECHI NAKKUD SAHARANPUR,Basic Education,primary school panchkua
3499,SAHARANPUR,RAJKIYA INTER COLLEGE KAMELA COLONY SAHARANPUR,Basic Education,primary school chaura banana
3500,SAHARANPUR,"RAJKIYA INTER COLLEGE, KAPURI, SAHARANPUR",Basic Education,primary school shahjahanpur
3501,SAHARANPUR,"PT. DEEN DAYAL UPADHYAY RAJKIYA MADHYAMIK INTER COLLEGE, CHAURADEV",Basic Education,primary school chhabdi
3502,SAHARANPUR,"PT. DEEN DAYAL UPADHYAY RAJKIYA MADHYAMIK INTER COLLEGE, DHAYAKI",Basic Education,primary school majhari
3503,SAHARANPUR,S D INTER COLLEGE SAHARANPUR,Basic Education,Primary School Bartha Korci
3504,SAHARANPUR,J V JAIN INTER COLLEGE SAHARANPUR,Basic Education,primary school beginazar
3505,SAHARANPUR,ISLAMIA INTER COLLEGE SAHARANPUR,Basic Education,Primary School Sarajpur Sayyed
3506,SAHARANPUR,S A M INTER COLLEGE SAHARANPUR,Basic Education,Primary School Tatarpur Khurd
3507,SAHARANPUR,GAURI SHANKAR INDRAPAL SINGH INTER COLLEGE SAHARANPUR,Basic Education,U.P.D. Ismailpur Merge
3508,SAHARANPUR,GURU NANAK INTER COLLEGE SAHARANPUR,Basic Education,U.P.V.Fandpuri
3509,SAHARANPUR,J J INTER COLLEGE CHILKANA SULTANPUR SAHARANPUR,Basic Education,U.P.V. Randeva Merge
3510,SAHARANPUR,SIYARAM INTER COLLEGE GAGALHEDI SAHARANPUR,Basic Education,UP PRAKASHIK Naingali Merge
3511,SAHARANPUR,"YOCHAR KRISHI INTER COLLEGE, RAMPUR MANIHARAN SAHARANPUR",Basic Education,UP PRA.V. Nalhenda Merge
3512,SAHARANPUR,"B N D INTER COLLEGE, JADODA PANDA SAHARANPUR",Basic Education,UP PRAKASHIK Nashik Merge
3513,SAHARANPUR,"M P M INTER COLLEGE, SHIMLANA SAHARANPUR",Basic Education,U.P.V. Kharibans Marj
3514,SAHARANPUR,"K L G M INTER COLLEGE, NAKKUD SAHARANPUR",Basic Education,UP Primary School Tirapdi Merge
3515,SAHARANPUR,"D C JAIN INTER COLLEGE, SARSAAVA SAHARANPUR",Basic Education,UP Primary School Basi Kunda Composite
3516,SAHARANPUR,JANTA INTER COLLEGE BEHAT SAHARANPUR,Basic Education,UP Primary School Kallarhedi Composite
3517,SAHARANPUR,"PUBLIC INTER COLLEGE, SADOULI KADIM SAHARANPUR",Basic Education,U.G.V. Chaupura Composite
3518,SAHARANPUR,"JANTA INTER COLLEGE, NAGAL SAHARANPUR",Basic Education,UP Primary School Khalidpur Composite
3519,SAHARANPUR,"B D INTER COLLEGE, KHEDAMUGHAL SAHARANPUR",Basic Education,UP Primary School Daulatpur Composite
3520,SAHARANPUR,"K C C P ARYA KANYA INTER COLLEGE, SAHARANPUR",Basic Education,UP Primary School Shakarpur Composite
3521,SAHARANPUR,"J B S INTER COLLEGE, SAHARANPUR",Basic Education,UP PRIMARY VIDYA JAANPURA MAJRI COMPOSITE
3522,SAHARANPUR,SHREE DIGAMBAR JAIN KANYA INTER COLLEGE SAHARANPUR,secondary education,"Government Girls Inter College, Saharanpur"
3523,SAHARANPUR,INDUSTRIAL MUSLIM GIRLS INTER COLLEGE SAHARANPUR,secondary education,Digambar Jain Girls Inter College Saharanpur
3524,SAHARANPUR,VEDIC INTER COLLEG MUZAFFARBAD SAHARANPUR,secondary education,"Guru Nanak Girls Inter College, Saharanpur"
3525,SAHARANPUR,"INTER COLLEGE, THANKO SUNDARPUR SAHARANPUR",secondary education,Gauri Shankar Indrapal Inter College Saharanpur
3526,SAHARANPUR,"ARYA KANYA INTER COLLEGE, GANGOH SAHARANPUR",secondary education,"Sri Ramakrishna Yogashram Inter College, Saharanpur"
3527,SAHARANPUR,PRATHMIK VIDHYALAY DAHTAULI,secondary education,Shri Jain Inter College Deoband
3528,SAHARANPUR,PRATHMIK VIDHYALAY BADEHI NO.2,secondary education,Digamber Jain Girls Inter College Sarsawa
3529,SAHARANPUR,UCCH PRATHMIK VIDHYALAY MALHIPUR,secondary education,Shri Digambar Jain College 30th Secondary School Deoband
3530,SAHARANPUR,UCCH PRATHAMIK VIDHYALAY KHURD,secondary education,Arya Kanya Inter College Gangoh Saharanpur
3531,SAHARANPUR,PRATHAMIK VIDHYALAY BIHARIGADH,secondary education,Dilip Singh National Girls Inter College Gangoh Saharanpur
3532,SAHARANPUR,UCCH PRATHAMIK VIDHYALAY BERIBAGH,secondary education,Industrial Muslim Girls Inter College Saharanpur
3533,SAHARANPUR,UCCH PRATHAMIK VIDHYALAY BEHAT,secondary education,Government Girls Inter College Deoband Saharanpur
3534,SAHARANPUR,PRATHAMIK VIDHYALAY BIRAKHEDI,secondary education,"Jawahar Higher Secondary School, Saharanpur"
3535,SAHARANPUR,UCCH PRATHAMIK VIDHYALAY FANDPURI,secondary education,"Shri Hindu Girls Inter College, Saharanpur"
